Vg,gate_length,tox,sides,trap,work_function,Id
0.22810948,8,4,3,0,4.5,3.96E-09
0.32810948,8,4,3,0,4.5,9.57E-08
0.42810948,8,4,3,0,4.5,7.79E-07
0.52810948,8,4,3,0,4.5,1.80E-06
0.62810948,8,4,3,0,4.5,3.15E-06
0.72810948,8,4,3,0,4.5,4.69E-06
0.82810948,8,4,3,0,4.5,6.07E-06
0.92810948,8,4,3,0,4.5,7.02E-06
1.0281095,8,4,3,0,4.5,7.54E-06
1.1281095,8,4,3,0,4.5,7.83E-06
1.2281095,8,4,3,0,4.5,8.01E-06
1.3281095,8,4,3,0,4.5,8.11E-06
1.4281095,8,4,3,0,4.5,8.19E-06
1.5281095,8,4,3,0,4.5,8.24E-06
1.6281095,8,4,3,0,4.5,8.27E-06
1.7281095,8,4,3,0,4.5,8.29E-06
1.8281095,8,4,3,0,4.5,8.31E-06
1.9281095,8,4,3,0,4.5,8.32E-06
2,8,4,3,0,4.5,8.32E-06
0,8,4,3,0,4.9,2.16E-19
0.02,8,4,3,0,4.9,4.46E-19
0.048,8,4,3,0,4.9,1.31E-18
0.088133333,8,4,3,0,4.9,3.37E-17
0.14565778,8,4,3,0,4.9,1.39E-16
0.18688363,8,4,3,0,4.9,1.70E-16
0.21505463,8,4,3,0,4.9,9.44E-16
0.25167693,8,4,3,0,4.9,6.26E-15
0.29440294,8,4,3,0,4.9,2.94E-14
0.33712896,8,4,3,0,4.9,1.37E-13
0.39836958,8,4,3,0,4.9,1.24E-12
0.4861478,8,4,3,0,4.9,2.83E-11
0.5861478,8,4,3,0,4.9,9.41E-10
0.6861478,8,4,3,0,4.9,2.68E-08
0.7861478,8,4,3,0,4.9,4.08E-07
0.8861478,8,4,3,0,4.9,1.34E-06
0.9861478,8,4,3,0,4.9,2.55E-06
1.0861478,8,4,3,0,4.9,4.04E-06
1.1861478,8,4,3,0,4.9,5.53E-06
1.2861478,8,4,3,0,4.9,6.68E-06
1.3861478,8,4,3,0,4.9,7.36E-06
1.4861478,8,4,3,0,4.9,7.73E-06
1.5861478,8,4,3,0,4.9,7.94E-06
1.6861478,8,4,3,0,4.9,8.07E-06
1.7861478,8,4,3,0,4.9,8.16E-06
1.8861478,8,4,3,0,4.9,8.22E-06
1.9861478,8,4,3,0,4.9,8.26E-06
2,8,4,3,0,4.9,8.26E-06
0,7,4,3,0,4.3,1.52E-09
0.01,7,4,3,0,4.3,2.14E-09
0.023666667,7,4,3,0,4.3,3.40E-09
0.043255556,7,4,3,0,4.3,6.59E-09
0.071332963,7,4,3,0,4.3,1.67E-08
0.11157725,7,4,3,0,4.3,5.90E-08
0.16926072,7,4,3,0,4.3,2.79E-07
0.25001758,7,4,3,0,4.3,9.87E-07
0.35001758,7,4,3,0,4.3,2.07E-06
0.45001758,7,4,3,0,4.3,3.48E-06
0.55001758,7,4,3,0,4.3,5.02E-06
0.65001758,7,4,3,0,4.3,6.32E-06
0.75001758,7,4,3,0,4.3,7.16E-06
0.85001758,7,4,3,0,4.3,7.62E-06
0.95001758,7,4,3,0,4.3,7.88E-06
1.0500176,7,4,3,0,4.3,8.03E-06
1.1500176,7,4,3,0,4.3,8.13E-06
1.2500176,7,4,3,0,4.3,8.20E-06
1.3500176,7,4,3,0,4.3,8.25E-06
1.4500176,7,4,3,0,4.3,8.28E-06
1.5500176,7,4,3,0,4.3,8.30E-06
1.6500176,7,4,3,0,4.3,8.31E-06
1.7500176,7,4,3,0,4.3,8.32E-06
1.8500176,7,4,3,0,4.3,8.32E-06
1.9000176,7,4,3,0,4.3,8.33E-06
1.9325176,7,4,3,0,4.3,8.33E-06
1.9747676,7,4,3,0,4.3,8.33E-06
2,7,4,3,0,4.3,8.33E-06
0,7,4,3,0,4.5,1.31E-12
0.02,7,4,3,0,4.5,2.69E-12
0.048,7,4,3,0,4.5,7.31E-12
0.088133333,7,4,3,0,4.5,3.04E-11
0.14565778,7,4,3,0,4.5,2.30E-10
0.22810948,7,4,3,0,4.5,3.96E-09
0.32810948,7,4,3,0,4.5,9.57E-08
0.42810948,7,4,3,0,4.5,7.79E-07
0.52810948,7,4,3,0,4.5,1.80E-06
0.62810948,7,4,3,0,4.5,3.15E-06
0.72810948,7,4,3,0,4.5,4.69E-06
0.82810948,7,4,3,0,4.5,6.07E-06
0.92810948,7,4,3,0,4.5,7.02E-06
1.0281095,7,4,3,0,4.5,7.54E-06
1.1281095,7,4,3,0,4.5,7.83E-06
1.2281095,7,4,3,0,4.5,8.01E-06
1.3281095,7,4,3,0,4.5,8.11E-06
1.4281095,7,4,3,0,4.5,8.19E-06
1.5281095,7,4,3,0,4.5,8.24E-06
1.6281095,7,4,3,0,4.5,8.27E-06
1.7281095,7,4,3,0,4.5,8.29E-06
1.8281095,7,4,3,0,4.5,8.31E-06
1.9281095,7,4,3,0,4.5,8.32E-06
2,7,4,3,0,4.5,8.32E-06
0,7,4,3,0,4.9,2.16E-19
0.02,7,4,3,0,4.9,4.46E-19
0.048,7,4,3,0,4.9,1.31E-18
0.088133333,7,4,3,0,4.9,3.37E-17
0.14565778,7,4,3,0,4.9,1.39E-16
0.18688363,7,4,3,0,4.9,1.70E-16
0.21505463,7,4,3,0,4.9,9.44E-16
0.25167693,7,4,3,0,4.9,6.26E-15
0.29440294,7,4,3,0,4.9,2.94E-14
0.33712896,7,4,3,0,4.9,1.37E-13
0.39836958,7,4,3,0,4.9,1.24E-12
0.4861478,7,4,3,0,4.9,2.83E-11
0.5861478,7,4,3,0,4.9,9.41E-10
0.6861478,7,4,3,0,4.9,2.68E-08
0.7861478,7,4,3,0,4.9,4.08E-07
0.8861478,7,4,3,0,4.9,1.34E-06
0.9861478,7,4,3,0,4.9,2.55E-06
1.0861478,7,4,3,0,4.9,4.04E-06
1.1861478,7,4,3,0,4.9,5.53E-06
1.2861478,7,4,3,0,4.9,6.68E-06
